Sess MeanPE MaxPE MeanRSE MaxRSE
1 0.023142 0.049029 277.951332 291488.846532
2 0.015822 0.040729 206.513305 198208.778948
3 0.026547 0.058066 342.546636 482327.862659
4 0.027673 0.072940 429.438958 780287.830328
5 0.033029 0.089494 537.179020 1323950.745295
6 0.032289 0.127869 526.109554 2253609.063288
7 0.091436 0.370792 1132.545544 9819675.657683
8 0.133575 0.385785 1352.106804 11266102.476838
9 0.045550 0.137636 570.408545 1723840.677154
10 0.023714 0.106502 364.966308 1113582.736259
11 0.041667 0.144490 562.561902 2011821.548795
12 0.013954 0.045369 201.831197 249332.009309
13 0.072293 0.195667 1019.806566 4346751.815611
14 0.057272 0.095800 789.314484 1401279.599262
15 0.032810 0.115967 525.333054 2057624.613411
16 0.026407 0.061963 428.564496 742927.769233
17 0.021152 0.073207 434.454483 1175516.660452
18 0.024174 0.079183 457.916859 1369033.182145
19 0.012498 0.049841 274.064932 665555.643879
20 0.018059 0.060791 386.356440 959975.584399
21 0.016384 0.062742 373.236916 1188182.773317
22 0.045206 0.117349 934.981366 3403031.367052
23 0.016519 0.055925 345.789595 918857.493336
24 0.018845 0.049506 408.589084 829327.532696
25 0.014460 0.052658 403.305630 1200821.472400
26 0.021235 0.049481 595.752375 1504869.559727
27 0.032049 0.097606 1008.801396 6475798.686176
28 0.019459 0.054739 584.106723 1810811.558844
29 0.033998 0.109806 988.680302 5726024.624269
30 0.023323 0.078411 792.766297 3991465.182558
31 0.084208 0.557339 3230.163787 107371361.336484
32 0.085121 0.215019 2669.577043 35708894.318643
33 0.017087 0.052359 657.425915 2459183.121784
34 0.025668 0.073714 1051.885578 6223690.246556
