Sess MeanPE MaxPE MeanRSE MaxRSE
1 0.020571 0.048238 253.612749 283782.566038
2 0.013285 0.050901 186.866204 309569.875568
3 0.036228 0.064676 456.461199 598384.195462
4 0.029064 0.074724 443.202578 818922.766472
5 0.031007 0.104677 510.128836 1808101.166023
6 0.036288 0.133973 572.329326 2473884.770331
7 0.097953 0.390082 1208.765638 10867938.824947
8 0.135855 0.374348 1352.688975 10659246.542766
9 0.040251 0.115237 489.030645 1208412.739628
10 0.028417 0.120811 423.751883 1432908.689390
11 0.038139 0.128659 511.782191 1595130.123518
12 0.016380 0.043351 232.136103 282057.459420
13 0.075191 0.194142 1048.190695 4299650.911603
14 0.066515 0.099861 886.324686 1657035.290586
15 0.032996 0.112265 523.123323 1928352.294127
16 0.019682 0.077322 343.311665 981900.305656
17 0.023555 0.092237 454.462930 1894510.294834
18 0.022285 0.059614 416.522045 799224.615509
19 0.013119 0.056003 308.835992 840290.047788
20 0.018435 0.068040 391.197422 1202578.337299
21 0.019421 0.062607 420.711731 1183087.211129
22 0.045352 0.121729 938.674411 3636870.394151
23 0.017556 0.060702 360.495561 1082522.871775
24 0.018332 0.051727 408.159885 905427.330853
25 0.013740 0.046809 388.393997 934884.279175
26 0.015730 0.044763 482.532382 1231603.151662
27 0.073983 0.143953 2001.949166 14027654.230243
28 0.025260 0.057169 751.458417 2179932.055329
29 0.033405 0.125788 977.675915 7514190.289380
30 0.024485 0.072858 776.787320 3446135.102035
31 0.082432 0.570753 3286.935574 112601894.519610
32 0.077835 0.207085 2523.430576 33565752.981767
33 0.015826 0.046628 604.815719 1959799.411382
34 0.031462 0.078080 1245.647292 6982775.696127
